$20 $ , $1.8504 \cdot 10^{-3} $ , $3.7905 \cdot 10^{-2} $ , $7.7691 \cdot 10^{-1} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$21 $ , $1.1717 \cdot 10^{-3} $ , $2.5175 \cdot 10^{-2} $ , $5.4120 \cdot 10^{-1} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$22 $ , $7.4097 \cdot 10^{-4} $ , $1.6663 \cdot 10^{-2} $ , $3.7488 \cdot 10^{-1} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$23 $ , $4.6801 \cdot 10^{-4} $ , $1.0993 \cdot 10^{-2} $ , $2.5832 \cdot 10^{-1} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$24 $ , $2.9523 \cdot 10^{-4} $ , $7.2298 \cdot 10^{-3} $ , $1.7713 \cdot 10^{-1} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$25 $ , $1.8601 \cdot 10^{-4} $ , $4.7413 \cdot 10^{-3} $ , $1.2090 \cdot 10^{-1} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$26 $ , $1.1706 \cdot 10^{-4} $ , $3.1009 \cdot 10^{-3} $ , $8.2171 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$27 $ , $7.3582 \cdot 10^{-5} $ , $2.0228 \cdot 10^{-3} $ , $5.5626 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$28 $ , $4.6203 \cdot 10^{-5} $ , $1.3164 \cdot 10^{-3} $ , $3.7515 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$29 $ , $2.8981 \cdot 10^{-5} $ , $8.5467 \cdot 10^{-4} $ , $2.5213 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$30 $ , $1.8161 \cdot 10^{-5} $ , $5.5373 \cdot 10^{-4} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$31 $ , $1.1370 \cdot 10^{-5} $ , $3.5803 \cdot 10^{-4} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$32 $ , $7.1111 \cdot 10^{-6} $ , $2.3105 \cdot 10^{-4} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$33 $ , $4.4440 \cdot 10^{-6} $ , $1.4884 \cdot 10^{-4} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$34 $ , $2.7749 \cdot 10^{-6} $ , $9.5708 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$35 $ , $1.7314 \cdot 10^{-6} $ , $6.1447 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$36 $ , $1.2653 \cdot 10^{-6} $ , $4.6264 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$37 $ , $1.0774 \cdot 10^{-6} $ , $4.0598 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$38 $ , $9.6748 \cdot 10^{-7} $ , $3.8044 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$39 $ , $9.0625 \cdot 10^{-7} $ , $3.8044 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$40 $ , $8.7541 \cdot 10^{-7} $ , $3.8044 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$41 $ , $8.6580 \cdot 10^{-7} $ , $3.8044 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$42 $ , $8.6580 \cdot 10^{-7} $ , $3.8044 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$43 $ , $8.6580 \cdot 10^{-7} $ , $3.8044 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$19\log 10 $ , $8.6471 \cdot 10^{-7} $ , $3.8044 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$44 $ , $7.8629 \cdot 10^{-7} $ , $3.5371 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$45 $ , $5.0936 \cdot 10^{-7} $ , $2.3423 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$46 $ , $3.3115 \cdot 10^{-7} $ , $1.5559 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$47 $ , $2.1419 \cdot 10^{-7} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$48 $ , $1.3860 \cdot 10^{-7} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$49 $ , $8.9567 \cdot 10^{-8} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$50 $ , $5.7809 \cdot 10^{-8} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$51 $ , $3.7311 \cdot 10^{-8} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$52 $ , $2.4000 \cdot 10^{-8} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$53 $ , $1.5436 \cdot 10^{-8} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$54 $ , $9.9166 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$55 $ , $6.3657 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$56 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$57 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$58 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$59 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$85 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$95 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$100 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$200 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$300 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$400 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$500 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$600 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$700 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$800 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
$900 $ , $4.4627 \cdot 10^{-9} $ , $1.0376 \cdot 10^{-5} $ , $2.4334 \cdot 10^{-2} $ , $5.7184 \cdot 10^{1} $ , $1.3441 \cdot 10^{5} $ 
